CRIMEID,CCN,PERSONID,PERSONTYPE,AGE,age_band,FATAL,MAJORINJURY,MINORINJURY,severity,IMPAIRED,SPEEDING,TICKETISSUED,INVEHICLETYPE,match_source,year_ccn,year,year_month,ward,date_source
28175564,19170720,88952591,Driver,29,25-34,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-09,Ward 5,reportdate
27081902,16166990,84650003,Driver,19,16-24,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2016,2016,2016-10,Ward 7,reportdate
26623726,11056874,84611030,Driver,54,45-54,N,N,Y,Minor,N,Y,N,Moped/scooter,moped_scooter,2011,2011,2011-04,Ward 7,reportdate
27890776,18212553,87867996,Driver,45,45-54,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-12,Ward 5,reportdate
25024881,14087476,85025429,Driver,43,35-44,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2014,2014,2014-06,Ward 6,reportdate
24654858,13091957,84759203,Driver,26,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2013,2013,2013-07,Ward 5,reportdate
24215473,12131514,84789567,Driver,49,45-54,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2012,2012,2012-09,Ward 7,reportdate
27437651,17163245,86197076,Driver,64,55-64,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2017,2017,2017-09,Ward 6,reportdate
28349944,20047130,89629315,Driver,25,25-34,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2020,2020,2020-03,Ward 6,reportdate
27764782,18133409,87388154,Driver,20,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-08,Ward 1,reportdate
27599710,18032293,86780765,Driver,18,16-24,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2018,2018,2018-02,Ward 8,reportdate
27703443,18094355,87156924,Driver,31,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-06,Ward 2,reportdate
24358990,12174904,84938743,Driver,20,16-24,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2012,2012,2012-12,Ward 6,reportdate
26813809,16003689,85015091,Driver,38,35-44,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2016,2016,2016-01,Ward 2,reportdate
26643666,10145658,85033854,Driver,56,55-64,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2010,2010,2010-10,Ward 6,reportdate
27572972,18017610,86689641,Driver,38,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-02,Ward 1,reportdate
28552932,20143018,90245229,Pedestrian,18,16-24,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2020,2020,2020-10,Ward 3,reportdate
27111883,16185787,84955577,Driver,40,35-44,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2016,2016,2016-10,Ward 2,reportdate
26934848,16072425,84863303,Driver,54,45-54,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2016,2016,2016-05,Ward 5,reportdate
28070146,19101944,88535039,Driver,34,25-34,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-06,Ward 5,reportdate
25133207,14143106,84810812,Driver,40,35-44,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2014,2014,2014-09,Ward 6,reportdate
28306771,20020494,89446255,Driver,35,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-02,Ward 1,reportdate
24690222,13109406,84939954,Driver,28,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2013,2013,2013-08,Ward 4,reportdate
27551039,18005370,86612397,Driver,24,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-01,Ward 2,reportdate
28277919,20002911,89337407,Driver,28,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-01,Ward 2,reportdate
26621278,10044997,84907621,Driver,32,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2010,2010,2010-04,Ward 4,reportdate
28795894,21075178,90982685,Driver,39,35-44,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2021,2021,2021-06,Ward 2,reportdate
27893121,18213990,87876448,Passenger,46,45-54,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-12,Ward 2,reportdate
27414665,17148003,86109624,Driver,39,35-44,Y,N,N,Fatal,N,N,N,Moped/scooter,moped_scooter,2017,2017,2017-08,Ward 5,reportdate
28003737,19058572,88284521,Driver,33,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-04,Ward 5,reportdate
27424652,17154863,86227202,Driver,24,16-24,N,Y,N,Major,N,N,Y,Moped/scooter,moped_scooter,2017,2017,2017-09,Ward 7,reportdate
26643127,11141800,85041031,Driver,49,45-54,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2011,2011,2011-09,Null,reportdate
28421938,20079016,89845638,Driver,50,45-54,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-05,Ward 8,reportdate
26992543,16110067,84942896,Driver,53,45-54,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2016,2016,2016-07,Ward 5,reportdate
27694511,18088931,87122592,Driver,53,45-54,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-06,Ward 1,reportdate
27251687,17044729,85505238,Driver,16,16-24,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2017,2017,2017-03,Ward 6,reportdate
26997512,16113129,84644654,Driver,0,<16,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2016,2016,2016-07,Ward 5,reportdate
27761798,18131126,87377366,Driver,27,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-08,Ward 1,reportdate
26631947,12071858,84690190,Driver,49,45-54,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2012,2012,2012-05,Ward 1,reportdate
27719850,18104928,87218690,Driver,22,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-06,Ward 6,reportdate
26711449,15154145,84714155,Driver,81,65+,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2015,2015,2015-09,Ward 4,reportdate
25098514,14125511,84605597,Driver,26,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2014,2014,2014-08,Ward 7,reportdate
25314767,15112175,84874752,Driver,22,16-24,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2015,2015,2015-07,Ward 7,reportdate
28372881,20057042,89699213,Driver,44,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-04,Ward 7,reportdate
28793958,21074207,90977236,Driver,0,<16,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2021,2021,2021-06,Ward 1,reportdate
28432962,20085095,89881498,Driver,39,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-06,Ward 8,reportdate
26926434,16067047,84903043,Driver,23,16-24,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2016,2016,2016-04,Ward 2,reportdate
27439716,17164551,86204436,Driver,27,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2017,2017,2017-09,Ward 6,reportdate
27872843,18201375,87799000,Driver,37,35-44,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-11,Ward 5,reportdate
27790784,18149890,87485990,Passenger,22,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-09,Ward 3,reportdate
26621981,11053129,84914622,Driver,19,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2011,2011,2011-04,Ward 8,reportdate
27380788,17127734,85983627,Passenger,20,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2017,2017,2017-07,Ward 3,reportdate
28813004,21084792,91035888,Driver,37,35-44,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2021,2021,2021-06,Ward 2,reportdate
28056707,19092715,88483708,Passenger,19,16-24,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-05,Ward 4,reportdate
24215473,12131514,84629825,Passenger,0,<16,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2012,2012,2012-09,Ward 7,reportdate
28294694,20011353,89400048,Driver,66,65+,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-01,Ward 5,reportdate
26623123,10052808,84828407,Driver,36,35-44,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2010,2010,2010-04,Ward 5,reportdate
28620905,20176937,90449870,Driver,34,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-12,Ward 1,reportdate
26698794,15147827,84810669,Passenger,31,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2015,2015,2015-09,Ward 5,reportdate
28497940,20115401,90076240,Driver,63,55-64,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-08,Ward 7,reportdate
28500980,20116736,90085109,Driver,17,16-24,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-08,Ward 4,reportdate
28023932,19071890,88359975,Driver,60,55-64,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-04,Ward 5,reportdate
